Board Size,Density,P10,Median,Mean,Outliers Removed,Samples
8,1%,1,1,1.5,0,1000
8,2%,1,2,1.7,0,1000
8,3%,1,2,1.9,0,1000
8,4%,2,2,2.1,1,1000
8,5%,2,2,2.3,1,1000
8,6%,2,2,2.6,1,1000
8,7%,2,2,3.0,2,1000
8,8%,2,2,4.1,3,1000
8,9%,2,3,4.7,13,1000
8,10%,2,3,5.8,15,1000
8,11%,2,3,6.7,18,1000
8,12%,2,3,7.7,24,1000
8,13%,2,4,9.9,39,1000
8,14%,2,5,11.8,54,1000
8,15%,2,6,15.2,41,1000
8,16%,3,7,16.6,50,1000
8,17%,3,10,19.4,55,1000
8,18%,3,13,21.7,45,1000
8,19%,3,14,22.3,71,1000
8,20%,4,16,25.0,68,1000
8,21%,5,18,26.9,71,1000
8,22%,5,21,28.1,66,1000
8,23%,5,22,29.3,74,1000
8,24%,6,23,30.2,54,1000
8,25%,7,24,31.0,66,1000
8,26%,8,26,33.5,63,1000
8,27%,9,27,34.1,64,1000
8,28%,10,27,34.5,57,1000
8,29%,10,29,35.6,68,1000
8,30%,10,29,36.3,73,1000
8,31%,11,29,36.2,70,1000
8,32%,11,28,36.9,79,1000
8,33%,12,29,35.1,73,1000
8,34%,12,29,35.6,75,1000
8,35%,11,28,35.8,54,1000
8,36%,12,29,36.3,65,1000
8,37%,11,28,35.5,68,1000
8,38%,11,29,35.7,70,1000
8,39%,12,30,36.1,48,1000
8,40%,12,29,37.2,55,1000
8,41%,12,29,35.3,72,1000
8,42%,12,30,37.2,56,1000
8,43%,11,28,34.9,53,1000
8,44%,11,28,35.0,70,1000
8,45%,11,28,36.1,61,1000
8,46%,10,29,35.7,56,1000
8,47%,10,28,34.1,59,1000
8,48%,8,28,35.2,85,1000
8,49%,9,26,33.7,64,1000
8,50%,7,23,30.2,63,1000
8,51%,6,24,31.3,67,1000
8,52%,5,23,28.9,58,1000
8,53%,5,21,28.3,59,1000
8,54%,5,19,27.9,66,1000
8,55%,5,19,27.5,55,1000
8,56%,4,16,23.7,53,1000
8,57%,4,15,24.0,57,1000
8,58%,3,13,22.2,47,1000
8,59%,3,11,20.6,59,1000
8,60%,3,10,18.9,42,1000
8,61%,3,7,17.3,49,1000
8,62%,3,7,15.5,31,1000
8,63%,3,6,15.3,40,1000
8,64%,3,5,12.1,25,1000
8,65%,3,4,11.6,33,1000
8,66%,3,4,11.0,31,1000
8,67%,3,4,8.5,27,1000
8,68%,2,3,8.1,24,1000
8,69%,2,3,6.6,25,1000
8,70%,2,3,5.6,14,1000
8,71%,2,3,5.3,17,1000
